id,count
;,5
/,2
ABS,7
ALIGNED,2
AND,6
CF,2
DABS,4
EMIT,6
FMSLASHMOD,2
GREATER,4
LESSNUM,3
lit,72
LITERAL,2
MPLUS,2
MSTAR,2
NEGATE,4
OR,5
PLUSSTORE,5
QDNEGATE,2
QDUP,3
QNEGATE,3
RFETCH,4
RFROM,36
SIGN,3
SLASHMOD,2
TOIN,5
TOR,35
ULESS,3
UMSLASHMOD,5
UMSTAR,5
XOR,3
xplusloop,2
ZEROEQUAL,8
ZEROLESS,8
