id,count
.,2
ABORT,6
AGAIN,2
ALLOT,5
CMOVE,3
COMMA,5
COMMABRANCH,6
COMMACF,2
COMMADEST,6
COMMAXT,15
COUNT,6
CREATE,2
DEST,6
DNEGATE,4
DP,3
ENDLOOP,3
EQUAL,2
FIND,4
HOLD,3
HP,5
INTERPRET,3
NUMGREATER,3
NUMS,3
QABORT,3
qtneg,2
QUIT,2
REVEAL,2
SLASHSTRING,3
SOURCE,2
SQUOTE,2
THEN,5
TIBSIZE,2
TICKSOURCE,4
TOL,2
TYPE,10
UINIT,2
UMAX,2
UMIN,2
WITHIN,2
WORD,8
xdo,3
xloop,2
XSQUOTE,5
XT,12
